time,Fx,Fy,Fz,Ft,mu,k_eff,mu_mean,mu_std,slip,micro,material
1775471655.8929942,9.41,3.58,0.68,10.067993841873365,14.80585152356153,0.68,9953957.544003889,3499439.98581919,9.000000000000007,0.19626468106957023,Material_Wood_18
1775471655.9033315,9.25,3.61,0.77,9.929481356042722,12.895413585232644,0.77,9842487.27329964,3634588.047787317,9.000000000000007,0.22972538497095993,Material_Wood_18
1775471655.9150925,9.08,3.65,0.87,9.786158592624584,11.248445223194668,0.87,9731016.98612571,3761586.0242613116,9.999999999999998,0.2651511146162498,Material_Wood_18
1775471655.9253774,8.92,3.68,0.97,9.649290129330758,9.947711527442506,0.97,9619515.157368377,3881221.603998688,9.999999999999998,0.30202267239106745,Material_Wood_18
1775471655.9359324,8.75,3.72,1.06,9.507938788191687,8.969745111742053,1.06,9507918.428114748,3994127.585155846,9.999999999999998,0.3404251395669346,Material_Wood_18
1775471655.9469008,8.58,3.75,1.16,9.363701191302507,8.072149240649368,1.16,9396321.68988516,4100892.793329425,9.999999999999998,0.3803768714607392,Material_Wood_18
1775471655.9582212,8.42,3.79,1.26,9.233661245681477,7.328296759829141,1.26,9284724.944217049,4201985.329867513,10.000000000000009,0.421137368626316,Material_Wood_18
1775471655.9690373,8.25,3.83,1.35,9.095680293414013,6.737535967317071,1.35,9173128.192641329,4297805.505552496,10.000000000000009,0.46302450415225777,Material_Wood_18
1775471655.979789,8.08,3.86,1.45,8.95466358943763,6.175625802628846,1.45,9061531.435446506,4388698.673479835,10.000000000000009,0.506088058205381,Material_Wood_18
1775471655.9907262,7.92,3.9,1.55,8.828159491083065,5.695583093870949,1.55,8949934.673451256,4474965.066136733,10.000000000000009,0.5496768224948271,Material_Wood_18
1775471656.0016363,7.75,3.93,1.64,8.689499410207702,5.298472019351027,1.64,8838337.907484896,4556867.45860629,10.000000000000009,0.5942558460692912,Material_Wood_18
1775471656.0129986,7.58,3.97,1.74,8.556710816663141,4.917647068400043,1.74,8726741.13771029,4634637.2153152,10.000000000000009,0.6395409857788344,Material_Wood_18
